[2026-06-03T07:23:42.600Z] GET http://localhost:4011/ui/ → 200 (5ms, 25528B)
[2026-06-03T07:23:42.653Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/media/83afe278b6a6bb3c-s.p.3a6ba036.woff2 → 200 (22ms, 48432B)
[2026-06-03T07:23:42.653Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/4e20891f2fd03463.css → 200 (9ms, 1996B)
[2026-06-03T07:23:42.653Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/ab7673a38cfdad77.css → 200 (19ms, 471755B)
[2026-06-03T07:23:42.654Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/3f3fa56b5786d58c.css → 200 (8ms, 1013B)
[2026-06-03T07:23:42.654Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/5489ec6b9761f819.js → 200 (36ms, 23008B)
[2026-06-03T07:23:42.654Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/1300460219810c10.js → 200 (123ms, 41583B)
[2026-06-03T07:23:42.654Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/e96398764f77c728.js → 200 (124ms, 110109B)
[2026-06-03T07:23:42.654Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/726579f2940c2a2f.js → 200 (124ms, 224513B)
[2026-06-03T07:23:42.654Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/turbopack-ddedb29a5eb0118f.js → 200 (123ms, 10254B)
[2026-06-03T07:23:42.654Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/9e09de50158b3159.js → 200 (124ms, 12810B)
[2026-06-03T07:23:42.654Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/7e5fe5584502da06.js → 200 (124ms, 185214B)
[2026-06-03T07:23:42.654Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/d96012bcfc98706a.js → 200 (125ms, 283B)
[2026-06-03T07:23:42.655Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/dbca964212122d58.js → 200 (124ms, 30772B)
[2026-06-03T07:23:42.655Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/cd677ff381b90c30.js → 200 (124ms, 26406B)
[2026-06-03T07:23:42.655Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/0e65540d910189ec.js → 200 (125ms, 27774B)
[2026-06-03T07:23:42.655Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/0549bc9afa7d4888.js → 200 (125ms, 22419B)
[2026-06-03T07:23:42.655Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/403c4d96324c23a6.js → 200 (125ms, 38751B)
[2026-06-03T07:23:42.655Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/eaa469b758cdd75d.js → 200 (128ms, 35993B)
[2026-06-03T07:23:42.655Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/c53c9c7afec96700.js → 200 (209ms, ?B)
[2026-06-03T07:23:42.655Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/1fe0596a309ad6cf.js → 200 (129ms, 33168B)
[2026-06-03T07:23:42.656Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/c0b640cc12a2b90e.js → 200 (127ms, 30151B)
[2026-06-03T07:23:42.656Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/ecce455f20a321a8.js → 200 (202ms, ?B)
[2026-06-03T07:23:42.656Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/1bc2898be56acd1b.js → 200 (128ms, 43435B)
[2026-06-03T07:23:42.656Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/88c74f8b4b20d25a.js → 200 (128ms, 28696B)
[2026-06-03T07:23:42.656Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/d29d6e2ed772cd40.js → 200 (210ms, ?B)
[2026-06-03T07:23:42.656Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/134f728fa7099e3e.js → 200 (209ms, ?B)
[2026-06-03T07:23:42.656Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/a09028cd611c08ef.js → 200 (210ms, ?B)
[2026-06-03T07:23:42.656Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/7b788dd93ad868b3.js → 200 (209ms, ?B)
[2026-06-03T07:23:42.656Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/b18c9c2cb04f232f.js → 200 (269ms, ?B)
[2026-06-03T07:23:42.656Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/47a838c67cdd745e.js → 200 (273ms, ?B)
[2026-06-03T07:23:42.656Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/d3ac82723ec9e30d.js → 200 (299ms, ?B)
[2026-06-03T07:23:42.657Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/0a240f3b9f7eb75f.js → 200 (291ms, ?B)
[2026-06-03T07:23:42.657Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/89034a1473717ab9.js → 200 (297ms, ?B)
[2026-06-03T07:23:42.657Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/e40bdf27db562169.js → 200 (290ms, ?B)
[2026-06-03T07:23:42.657Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/3b30ab8eaa03bc21.js → 200 (296ms, ?B)
[2026-06-03T07:23:42.657Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/e1f23fd814ac3500.js → 200 (297ms, ?B)
[2026-06-03T07:23:42.657Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/60d899dd52430ef8.js → 200 (298ms, ?B)
[2026-06-03T07:23:42.657Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/62b240881d1b6a32.js → 200 (298ms, ?B)
[2026-06-03T07:23:42.657Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/3a50c1cde5b4e762.js → 200 (298ms, ?B)
[2026-06-03T07:23:42.657Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/ddcd1fd842a79e55.js → 200 (298ms, ?B)
[2026-06-03T07:23:42.658Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/7e417dd24c8becd0.js → pending (?ms, ?B)
[2026-06-03T07:23:42.658Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/4da3a9cfe4fd184c.js → pending (?ms, ?B)
[2026-06-03T07:23:42.658Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/08c0504a8b40be58.js → pending (?ms, ?B)
[2026-06-03T07:23:42.658Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/f4d1949f60a5a018.js → pending (?ms, ?B)
[2026-06-03T07:23:42.658Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/496b84010c33cf69.js → pending (?ms, ?B)
[2026-06-03T07:23:42.658Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/ca5fbafaf3826374.js → pending (?ms, ?B)
[2026-06-03T07:23:42.658Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/fcdf7322b0aa3e2e.js → pending (?ms, ?B)
[2026-06-03T07:23:42.658Z] GET http://localhost:4011/litellm-asset-prefix/_next/static/chunks/2f8533eeba82cab7.js → pending (?ms, ?B)
